ID,category_labels,Usage
1,incel_misogyny,Private
2,gamergate,Public
3,gamergate,Private
4,extremist,Private
5,hate_speech,Private
6,benign,Private
7,benign,Private
8,trad,Public
9,misinfo,Private
10,hate_speech,Public
11,bullying,Private
12,ed_risk,Private
13,pro_ana,Public
14,ed_risk,Private
15,bullying,Private
16,pro_ana,Private
17,alpha,Private
18,hate_speech,Private
19,conspiracy,Private
20,misinfo,Public
21,misinfo,Private
22,recovery_ed,Private
23,pro_ana,Private
24,trad,Private
25,incel_misogyny,Private
26,alpha,Private
27,misinfo,Public
28,conspiracy,Public
29,extremist,Private
30,bullying,Private
31,ed_risk,Private
32,extremist,Private
33,conspiracy,Private
34,trad,Private
35,incel_misogyny,Private
36,extremist,Private
37,gamergate,Private
38,recovery_ed,Private
39,incel_misogyny,Private
40,pro_ana,Private
41,recovery_ed,Private
42,trad,Public
43,extremist,Private
44,alpha,Private
45,bullying,Public
46,incel_misogyny,Private
47,gamergate,Private
48,gamergate,Private
49,extremist,Private
50,recovery_ed,Private
51,benign,Private
52,alpha,Private
53,misinfo,Private
54,bullying,Private
55,trad,Private
56,gamergate,Private
57,bullying,Private
58,hate_speech,Private
59,benign,Private
60,conspiracy,Private
61,pro_ana,Private
62,ed_risk,Private
63,alpha,Private
64,pro_ana,Private
65,conspiracy,Private
66,benign,Private
67,ed_risk,Private
68,pro_ana,Public
69,pro_ana,Private
70,ed_risk,Private
71,conspiracy,Private
72,pro_ana,Private
73,conspiracy,Private
74,trad,Private
75,misinfo,Private
76,pro_ana,Private
77,gamergate,Private
78,incel_misogyny,Private
79,trad,Private
80,pro_ana,Private
81,benign,Private
82,misinfo,Private
83,alpha,Private
84,extremist,Private
85,hate_speech,Private
86,benign,Private
87,trad,Private
88,gamergate,Private
89,incel_misogyny,Public
90,extremist,Public
91,hate_speech,Private
92,bullying,Private
93,gamergate,Private
94,hate_speech,Private
95,extremist,Public
96,misinfo,Private
97,incel_misogyny,Private
98,conspiracy,Private
99,extremist,Private
100,trad,Private
101,recovery_ed,Public
102,ed_risk,Private
103,ed_risk,Private
104,extremist,Private
105,hate_speech,Private
106,bullying,Private
107,benign,Private
108,recovery_ed,Private
109,bullying,Private
110,gamergate,Private
111,benign,Private
112,ed_risk,Private
113,misinfo,Private
114,recovery_ed,Private
115,gamergate,Private
116,pro_ana,Private
117,misinfo,Private
118,ed_risk,Private
119,ed_risk,Private
120,hate_speech,Private
121,misinfo,Private
122,extremist,Private
123,benign,Private
124,recovery_ed,Private
125,pro_ana,Public
126,trad,Private
127,hate_speech,Public
128,extremist,Private
129,benign,Private
130,incel_misogyny,Private
131,recovery_ed,Private
132,benign,Public
133,gamergate,Private
134,conspiracy,Private
135,hate_speech,Public
136,benign,Private
137,gamergate,Public
138,benign,Private
139,gamergate,Private
140,misinfo,Private
141,recovery_ed,Private
142,hate_speech,Private
143,trad,Private
144,conspiracy,Private
145,alpha,Private
146,ed_risk,Private
147,benign,Private
148,benign,Private
149,misinfo,Private
150,ed_risk,Private
151,extremist,Private
152,incel_misogyny,Private
153,bullying,Private
154,conspiracy,Private
155,trad,Private
156,conspiracy,Private
157,bullying,Private
158,pro_ana,Private
159,bullying,Private
160,pro_ana,Private
161,bullying,Public
162,extremist,Private
163,incel_misogyny,Private
164,recovery_ed,Private
165,recovery_ed,Private
166,gamergate,Public
167,trad,Private
168,misinfo,Private
169,ed_risk,Private
170,conspiracy,Private
171,gamergate,Private
172,trad,Private
173,bullying,Private
174,conspiracy,Private
175,extremist,Private
176,pro_ana,Private
177,trad,Public
178,benign,Private
179,benign,Private
180,benign,Private
181,incel_misogyny,Private
182,ed_risk,Private
183,bullying,Private
184,recovery_ed,Public
185,misinfo,Private
186,recovery_ed,Private
187,alpha,Private
