follower_id,followee_id
0,66
0,69
0,75
0,81
1,92
2,5
2,43
4,40
6,17
6,43
7,0
8,66
9,10
9,23
9,45
9,95
11,72
12,16
12,34
12,73
13,95
14,4
14,22
14,65
14,81
15,79
16,78
17,45
17,52
17,85
17,92
18,64
20,0
21,50
21,66
23,26
23,60
23,98
24,36
24,60
26,81
27,24
27,47
28,88
29,53
29,66
30,57
34,56
34,77
37,96
38,98
39,5
40,73
41,12
42,38
43,13
43,61
44,58
44,88
45,1
45,92
47,98
50,31
50,86
51,54
51,64
53,63
53,71
54,1
54,12
54,91
55,83
56,52
57,24
57,34
57,83
59,54
60,88
61,66
62,45
62,89
63,68
64,44
64,84
64,96
65,9
65,77
66,33
66,41
67,15
67,37
68,4
70,4
70,10
70,59
70,95
71,45
71,59
72,24
72,88
74,35
74,36
74,46
75,68
75,74
76,2
76,48
76,61
77,85
78,32
79,57
79,86
81,42
81,50
81,66
82,21
83,20
83,58
85,17
85,18
86,57
87,19
87,97
88,1
88,5
88,45
88,70
88,97
89,42
90,68
91,52
92,83
93,13
93,36
93,60
93,94
93,95
95,34
95,82
96,33
99,11
99,75
12,20
12,85
13,27
13,75
70,61
70,7
79,74
79,5
90,40
90,23
25,14
25,81
65,41
65,60
64,58
64,61
3,57
3,89
37,23
37,91
19,60
19,23
17,43
17,64
87,76
87,88
50,64
50,43
86,81
86,83
49,58
49,19
94,95
94,60
15,1
15,34
62,73
62,92
91,94
91,11
39,43
39,67
47,14
47,43
31,37
31,13
53,11
53,68
18,69
18,68
5,23
5,33
75,19
75,58
33,91
33,27
35,4
35,57
55,77
55,42
82,86
82,4
42,98
42,49
81,71
81,95
43,12
43,78
46,75
46,42
41,83
41,23
0,86
0,19
61,46
61,10
57,13
57,1
63,86
63,45
29,88
29,4
34,20
34,49
10,17
10,57
73,68
73,58
99,35
99,4
32,75
32,4
93,35
93,81
40,47
40,9
30,36
30,97
20,9
20,13
56,96
56,91
21,43
21,98
72,58
72,16
88,76
88,28
77,83
77,20
1,76
1,42
11,57
11,68
68,95
68,5
14,88
14,73
52,64
52,73
9,57
9,35
22,11
22,23
24,38
24,23
16,98
16,4
36,52
36,31
96,32
96,19
38,1
38,36
51,75
51,62
74,32
74,73
45,89
45,12
97,66
97,57
28,41
28,20
67,19
67,25
27,69
27,19
76,98
76,13
7,66
7,73
58,88
58,86
4,34
4,66
60,56
60,73
26,77
26,5
78,64
78,81
71,97
71,17
44,41
44,6
83,43
83,41
85,68
85,61
2,3
2,81
59,77
59,66
66,75
66,72
6,20
6,73
89,98
89,83
8,75
8,57
92,5
92,66
80,23
80,72
54,19
54,52
84,4
84,77
98,77
98,60
48,86
48,67
95,75
95,13
23,59
23,61
69,6
69,23
3,42
9,34
10,92
14,1
20,19
29,97
30,52
41,58
43,20
46,68
55,20
60,52
65,58
68,75
69,26
78,61
86,95
90,59
