follower_id,followee_id
0,66
0,69
0,75
0,81
1,72
1,85
2,3
5,17
5,43
5,100
7,26
7,70
7,83
7,105
8,35
9,92
10,16
10,34
10,73
11,75
11,84
11,102
12,25
12,41
13,19
14,65
14,72
14,105
14,112
15,64
16,80
17,110
18,6
19,46
19,80
19,118
20,60
22,41
22,84
24,34
24,73
24,86
25,57
28,96
28,117
30,91
31,76
32,58
32,65
33,113
34,32
35,38
35,113
36,41
37,18
37,61
38,32
41,111
42,46
42,114
43,4
44,91
45,1
45,12
45,91
46,63
47,12
47,84
47,94
48,23
49,74
50,88
51,45
51,46
52,5
53,8
53,84
54,4
54,16
54,29
54,97
55,33
55,41
55,115
56,84
58,44
58,50
58,99
59,15
59,65
59,79
60,24
60,88
61,115
61,116
62,6
63,8
63,14
63,25
63,42
63,88
63,101
65,32
66,37
67,102
67,110
68,6
68,61
69,40
70,117
70,118
72,17
72,79
73,37
73,41
73,45
73,110
74,17
74,62
75,68
76,32
77,43
77,73
77,96
78,0
78,9
78,34
79,54
82,71
83,15
84,53
85,30
85,38
86,48
87,50
87,101
88,78
89,26
91,46
91,87
92,13
93,44
93,68
93,78
94,12
94,62
95,105
96,19
97,21
98,36
98,38
98,41
99,29
99,61
99,89
100,81
100,92
103,25
103,32
103,50
104,2
104,10
104,19
105,55
107,97
108,94
109,4
109,48
109,67
109,117
110,6
110,21
111,71
111,100
112,8
112,90
113,37
113,43
115,6
115,106
117,15
117,92
118,47
118,90
119,87
105,70
105,8
42,86
42,65
85,41
85,25
39,16
39,92
82,43
82,68
24,65
24,70
106,63
106,104
13,27
13,105
72,68
72,25
53,43
53,73
96,88
96,102
110,72
110,44
30,92
30,96
46,65
46,21
50,113
50,68
68,3
68,35
57,84
57,109
55,111
55,13
3,45
3,78
12,17
12,44
41,38
41,15
87,12
87,78
20,80
20,79
109,23
109,34
19,21
19,65
75,106
75,32
37,5
37,63
47,90
47,43
35,101
35,5
102,117
102,50
99,84
99,114
11,15
11,89
17,87
17,43
18,96
18,25
15,100
15,21
9,50
9,76
1,37
1,16
31,100
31,48
52,102
52,6
94,23
94,50
25,17
25,63
5,80
5,65
90,37
90,5
49,87
49,5
77,38
77,92
33,50
33,12
63,38
63,117
103,12
103,16
79,115
79,106
64,43
64,118
98,65
98,17
116,89
116,32
61,96
61,23
0,87
0,43
43,64
43,78
22,113
22,8
74,104
74,84
101,71
101,84
91,63
91,37
29,14
29,26
34,41
34,27
112,118
112,6
118,57
118,34
10,36
10,23
88,2
88,38
32,87
32,71
62,35
62,85
40,105
40,15
21,78
21,64
81,41
81,23
107,23
107,31
93,80
93,21
65,118
65,16
56,78
56,92
14,102
14,100
73,34
73,76
16,63
16,84
36,89
36,8
70,73
70,92
115,117
115,19
38,43
38,8
51,43
51,118
108,80
108,71
45,4
45,92
114,88
114,76
113,84
113,80
28,23
28,84
67,118
67,96
27,88
27,65
92,6
92,76
7,84
7,82
76,21
76,58
58,5
58,89
4,90
4,70
97,100
97,78
60,16
60,29
26,65
26,70
78,26
78,100
71,118
71,87
44,6
44,50
100,84
100,39
83,13
83,86
119,57
119,92
86,14
86,6
2,41
2,32
59,32
59,47
66,73
66,6
6,100
6,99
89,80
89,6
8,58
8,42
111,32
111,49
80,45
80,57
54,35
54,90
84,3
84,78
117,115
117,105
48,6
48,80
95,92
95,118
23,3
23,4
69,92
69,118
104,68
104,105
3,12
10,89
14,8
21,9
33,68
44,113
47,53
55,32
64,34
65,87
67,90
68,38
76,9
85,32
88,32
90,17
94,68
103,44
111,5
