follower_id,followee_id
92,58
38,87
84,20
99,36
78,68
4,64
89,68
4,73
63,25
19,64
59,82
56,28
30,73
31,38
3,22
83,76
3,31
37,33
65,79
86,56
41,88
50,36
29,68
95,68
75,99
90,81
15,87
24,35
89,70
85,48
27,6
30,57
55,22
74,2
14,15
64,98
38,46
52,8
48,56
48,1
3,97
89,45
49,73
24,19
16,70
98,23
17,44
82,24
47,2
59,4
56,14
18,94
56,78
68,43
82,97
40,91
49,39
97,88
94,71
14,81
74,13
31,97
78,29
84,45
96,10
5,87
49,57
11,9
58,35
75,67
26,64
26,55
69,44
15,73
71,8
23,56
39,3
53,66
87,68
53,11
82,81
18,23
87,77
42,54
76,3
89,22
68,54
78,22
37,30
52,12
12,95
23,40
33,8
75,78
71,1
79,69
42,38
70,54
99,90
30,45
2,93
3,58
9,44
42,56
62,89
82,37
94,57
3,67
49,98
83,20
15,50
43,66
46,65
89,88
4,93
78,42
89,51
88,83
71,12
55,58
48,10
55,3
9,37
81,86
7,82
63,17
68,31
57,31
92,53
91,29
94,4
41,53
14,69
94,68
80,14
75,64
88,3
4,31
98,68
8,22
16,14
39,64
16,78
85,95
66,27
2,88
0,36
54,7
20,14
41,46
23,74
26,36
43,52
80,71
18,32
23,83
6,42
21,95
33,60
14,25
35,2
69,34
98,70
4,97
85,33
38,13
38,77
0,38
63,21
95,74
15,29
3,73
23,21
86,89
1,48
93,12
89,94
93,76
42,74
17,20
36,33
62,52
18,61
71,64
65,23
10,87
5,36
92,41
36,51
14,48
32,29
39,77
66,31
68,92
37,4
89,5
67,5
13,34
26,31
29,30
80,11
26,95
89,78
27,69
34,20
43,65
11,15
47,99
68,67
73,63
2,76
65,25
10,89
0,33
3,50
4,58
33,39
13,36
41,52
64,17
49,90
66,51
62,29
8,58
28,6
62,38
52,70
81,51
47,83
70,21
65,9
28,88
20,50
94,33
30,94
40,62
77,1
69,52
83,51
59,51
72,78
27,55
88,41
50,57
98,51
1,45
36,12
69,15
39,29
70,78
56,24
76,2
51,12
2,62
19,23
65,75
37,38
8,87
40,0
39,65
85,87
14,45
46,80
43,26
60,42
15,74
63,75
15,19
69,54
60,51
3,63
23,11
81,83
13,40
41,56
7,88
74,7
2,9
23,96
14,38
26,3
67,41
48,13
51,32
3,47
66,94
21,7
