follower_id,followee_id
81,21
26,85
69,1
91,62
28,3
82,38
70,18
37,70
14,13
83,67
1,58
51,7
10,70
68,57
92,33
2,75
61,27
57,75
29,4
46,20
52,24
85,91
58,40
7,65
81,14
59,48
20,56
84,13
7,74
6,11
87,82
55,77
22,74
93,6
9,56
20,22
94,69
29,98
65,63
82,58
28,87
14,33
43,14
21,48
38,64
20,58
75,28
79,10
5,39
49,73
89,54
95,70
16,24
42,52
79,46
37,10
27,72
8,4
85,13
58,81
0,9
22,94
89,93
69,90
7,51
98,16
58,44
13,76
73,60
35,85
19,34
87,68
69,4
8,43
26,91
54,74
39,85
53,84
62,32
40,84
36,77
34,89
52,3
15,48
35,5
71,1
98,82
19,27
33,26
51,89
93,40
1,85
11,96
64,77
68,93
54,76
31,74
48,35
65,51
31,28
92,14
86,83
74,72
66,68
3,94
70,29
47,36
70,38
88,19
13,80
47,45
90,80
82,12
1,87
36,54
16,85
22,64
56,66
84,24
94,13
37,80
41,62
86,94
52,62
33,58
5,84
35,0
40,51
33,67
23,35
99,67
59,31
42,79
84,60
28,25
8,86
96,34
57,15
48,12
11,27
31,60
48,76
8,31
37,55
20,69
8,49
68,33
93,62
20,87
92,73
69,16
13,48
87,31
16,44
96,9
32,70
81,54
27,83
13,11
55,44
19,24
91,40
25,19
8,97
65,30
71,25
17,54
95,74
30,51
56,70
24,32
14,9
20,89
99,7
30,72
76,5
88,71
65,14
47,97
10,23
96,93
88,25
45,54
29,12
83,47
51,42
6,74
52,41
66,40
6,83
89,69
40,30
69,11
87,81
62,27
52,59
27,69
42,3
64,33
33,64
64,97
17,31
44,82
5,93
77,54
71,84
41,98
38,81
0,42
31,20
4,3
97,20
75,54
58,68
46,39
59,67
7,29
70,12
61,64
81,33
20,94
47,74
70,21
90,54
87,92
91,83
37,27
90,8
30,21
8,76
79,72
46,5
2,14
17,33
19,30
8,85
93,43
40,7
85,94
15,72
95,71
6,14
51,46
86,68
12,9
4,60
55,16
33,50
39,29
53,28
7,95
33,4
28,17
71,52
31,34
9,77
97,43
91,39
51,85
84,55
29,64
43,26
0,92
77,3
43,35
55,0
98,35
35,31
68,98
13,31
15,92
34,8
73,24
79,95
67,20
18,33
0,49
34,81
30,7
42,9
45,26
46,55
77,33
63,50
19,80
45,44
0,76
45,99
35,8
5,90
85,25
68,27
38,78
